,location,total_sqft,bath,price,bhk,encoder_loc
44,other,600.0,2,60.0,3,116
45,Yeshwanthpur,682.0,2,130.0,3,115
46,6th Phase JP Nagar,600.0,2,100.0,3,3
47,Jalahalli East,800.0,2,80.0,3,53
48,Chamrajpet,1080.0,4,250.0,4,30
49,Yeshwanthpur,585.0,1,70.0,2,115
50,Electronic City,550.0,1,15.0,2,34
51,other,500.0,2,70.0,2,116
52,other,432.0,2,40.0,2,116
53,Chikkabanavar,1200.0,4,70.0,5,32
54,Electronic City Phase II,545.0,1,27.0,2,35
55,other,800.0,4,80.0,4,116
56,Ganga Nagar,720.0,3,65.0,3,36
57,Kothanur,1140.0,4,90.0,4,67
58,other,1200.0,6,137.0,5,116
59,Kaval Byrasandra,750.0,4,110.0,4,61
60,other,600.0,4,40.0,4,116
61,other,1200.0,4,100.0,5,116
62,Nagarbhavi,600.0,2,100.0,4,79
63,other,800.0,4,120.0,4,116
64,Nagarbhavi,600.0,2,80.0,3,79
65,other,600.0,2,110.0,3,116
66,other,1440.0,5,110.0,5,116
67,Vishveshwarya Layout,600.0,4,95.0,4,110
68,other,296.0,1,22.89,1,116
69,other,1200.0,4,85.0,5,116
70,Kengeri Satellite Town,600.0,4,72.0,3,64
71,Hosakerehalli,800.0,4,120.0,4,46
72,Vidyaranyapura,900.0,4,175.0,4,108
73,Battarahalli,800.0,2,75.0,3,22
74,Nagarbhavi,600.0,3,100.0,3,79
75,other,450.0,3,53.0,4,116
76,Sanjay nagar,750.0,2,110.0,4,89
77,other,600.0,2,30.0,3,116
78,KR Puram,600.0,5,75.0,4,56
79,Begur Road,680.0,4,68.0,3,23
80,Rachenahalli,600.0,5,50.0,5,84
81,Hulimavu,800.0,4,110.0,4,48
82,Electronic City,880.0,2,18.0,3,34
83,Sarjapur  Road,1152.0,4,230.0,4,91
84,Bommanahalli,680.0,4,68.0,3,26
85,Singasandra,525.0,5,56.0,4,97
86,Kengeri,1125.0,2,88.0,4,63
87,Nagarbhavi,600.0,3,83.0,3,79
88,Kumaraswami Layout,600.0,3,98.0,3,68
89,other,600.0,3,86.0,5,116
90,other,800.0,5,98.0,5,116
91,Akshaya Nagar,1080.0,4,75.0,4,7
92,other,1100.0,4,150.0,5,116
93,Kothannur,600.0,4,81.0,4,66
94,Battarahalli,1350.0,3,110.0,5,22
95,other,1320.0,5,199.0,5,116
96,other,1200.0,5,195.0,5,116
97,2nd Stage Nagarbhavi,1200.0,4,240.0,5,0
98,other,600.0,2,85.0,4,116
99,Electronic City Phase II,545.0,1,35.0,2,35
100,KR Puram,1000.0,4,75.0,4,56
101,Vasanthapura,420.0,2,35.0,2,107
102,BTM 1st Stage,600.0,2,90.0,4,12
103,other,440.0,3,50.0,3,116
104,other,950.0,5,90.0,5,116
105,Jigani,600.0,5,50.0,5,54
106,Kumaraswami Layout,1270.0,4,128.0,5,68
107,Yelahanka,1200.0,4,140.0,5,113
108,Thyagaraja Nagar,700.0,4,110.0,4,102
109,other,1200.0,5,185.0,5,116
110,Thanisandra,750.0,4,62.0,5,101
111,Bommenahalli,832.0,3,77.0,3,28
112,BEML Layout,1196.0,3,150.0,4,11
113,Vishwapriya Layout,600.0,3,73.0,4,111
114,Malleshwaram,675.0,2,148.0,3,72
115,5th Block Hbr Layout,1200.0,6,220.0,5,1
116,other,600.0,4,110.0,3,116
117,Seegehalli,1200.0,5,120.0,5,94
118,Sector 2 HSR Layout,1200.0,4,160.0,5,92
119,other,600.0,5,85.0,4,116
120,other,1250.0,5,300.0,5,116
121,Begur Road,800.0,5,95.0,5,23
122,Hoodi,780.0,3,62.0,3,43
123,Yelachenahalli,897.0,2,85.0,5,112
124,Marathahalli,800.0,4,86.0,4,73
125,Hebbal Kempapura,800.0,5,155.0,4,41
126,Kanakpura Road,1080.0,6,65.0,5,59
127,other,971.0,2,135.0,4,116
128,Vidyaranyapura,600.0,3,78.0,4,108
129,Sahakara Nagar,1200.0,5,160.0,5,88
130,other,1150.0,3,110.0,4,116
131,Ramamurthy Nagar,850.0,2,65.0,4,86
132,Abbigere,1200.0,4,98.0,5,6
133,Rajaji Nagar,1200.0,3,260.0,5,85
134,Akshaya Nagar,750.0,4,62.0,4,7
135,other,1200.0,4,120.0,5,116
136,other,910.0,4,140.0,4,116
137,other,580.0,2,95.0,2,116
138,other,720.0,4,62.0,5,116
139,Jalahalli,600.0,3,60.0,3,52
140,TC Palaya,1440.0,5,100.0,5,100
141,Nagarbhavi,1200.0,4,240.0,5,79
142,other,600.0,3,54.0,3,116
143,other,1150.0,4,110.0,4,116
144,other,958.0,3,210.0,5,116
145,Yelachenahalli,900.0,2,115.0,4,112
146,Sanjay nagar,1200.0,4,185.0,5,89
147,Banashankari,500.0,5,92.0,5,14
148,Anandapura,640.0,3,45.0,3,9
149,Kammanahalli,540.0,3,60.0,3,58
150,HBR Layout,800.0,4,180.0,4,39
151,other,750.0,4,85.0,4,116
152,Margondanahalli,555.0,1,37.0,2,74
153,2nd Stage Nagarbhavi,600.0,3,95.0,4,0
154,Jalahalli East,720.0,4,48.0,4,53
155,other,900.0,4,75.0,4,116
156,OMBR Layout,600.0,3,100.0,3,82
157,BTM 1st Stage,1100.0,5,121.0,4,12
158,other,900.0,4,175.0,4,116
159,Banjara Layout,1200.0,5,96.0,5,18
160,other,660.0,2,100.0,3,116
161,BTM Layout,600.0,4,122.0,4,13
162,Vidyaranyapura,462.0,3,38.0,3,108
163,Indira Nagar,1000.0,5,180.0,5,50
164,2nd Stage Nagarbhavi,600.0,4,100.0,3,0
165,Kengeri Satellite Town,560.0,2,16.6,2,64
166,Yelahanka,1200.0,5,162.0,5,113
167,Shampura,920.0,2,90.0,4,95
168,other,750.0,3,155.0,3,116
169,other,600.0,3,90.0,3,116
170,Mallasandra,600.0,2,50.0,4,71
171,Haralur Road,1200.0,5,255.0,5,40
172,other,1200.0,5,300.0,5,116
173,other,906.0,3,55.0,4,116
174,other,1200.0,4,130.0,5,116
175,Ramamurthy Nagar,800.0,4,88.0,3,86
176,other,800.0,2,80.0,3,116
177,other,600.0,5,75.0,4,116
178,other,600.0,2,85.0,3,116
179,other,875.0,5,120.0,5,116
180,other,1240.0,5,300.0,5,116
181,Kengeri,600.0,3,90.0,3,63
182,Hulimavu,1200.0,5,101.0,5,48
183,Banashankari Stage II,500.0,2,55.0,2,15
184,Marsur,497.0,1,17.0,2,75
185,Shampura,672.0,3,54.0,4,95
186,other,396.0,2,48.0,3,116
187,other,600.0,4,76.0,5,116
188,other,1200.0,4,115.0,5,116
189,other,1200.0,5,99.0,5,116
190,other,1280.0,3,250.0,5,116
191,other,1050.0,4,80.0,5,116
192,Mahalakshmi Layout,1200.0,5,200.0,5,70
193,other,600.0,4,81.0,3,116
194,TC Palaya,600.0,4,65.0,4,100
195,Vidyaranyapura,750.0,4,88.0,4,108
196,Banashankari Stage II,1050.0,3,125.0,4,15
197,other,900.0,3,51.0,4,116
198,other,1050.0,4,90.0,4,116
199,Shivaji Nagar,550.0,1,27.0,2,96
200,other,800.0,3,120.0,3,116
201,Hoskote,900.0,5,110.0,5,47
202,Kammanahalli,900.0,4,150.0,4,58
203,other,596.0,2,22.0,2,116
204,Vishveshwarya Layout,600.0,4,99.0,3,110
205,other,800.0,3,60.0,3,116
206,other,1000.0,5,140.0,5,116
207,other,882.0,3,72.0,4,116
208,other,600.0,3,65.0,3,116
209,2nd Stage Nagarbhavi,600.0,4,125.0,4,0
210,Banashankari Stage III,1200.0,5,180.0,5,16
211,other,800.0,4,98.0,5,116
212,Kammanahalli,600.0,2,50.0,3,58
213,other,646.0,2,65.0,3,116
214,Vishwapriya Layout,690.0,4,83.0,5,111
215,Chandapura,715.0,2,32.0,3,31
216,6th Phase JP Nagar,600.0,4,125.0,4,3
217,Amruthahalli,600.0,4,60.0,4,8
218,other,600.0,3,100.0,4,116
219,Vidyaranyapura,1200.0,5,139.0,5,108
220,Hosa Road,675.0,3,70.0,3,45
221,Tindlu,720.0,3,81.0,3,103
222,other,1008.0,4,180.0,5,116
223,other,800.0,2,52.0,3,116
224,Electronic City Phase II,875.0,2,40.0,3,35
225,other,1050.0,4,90.0,4,116
226,Giri Nagar,1120.0,4,175.0,4,37
227,Ramamurthy Nagar,1350.0,5,120.0,5,86
228,Rajaji Nagar,900.0,4,140.0,5,85
229,Subramanyapura,600.0,3,69.0,3,98
230,Vishveshwarya Layout,600.0,4,85.0,4,110
231,other,1140.0,3,145.0,4,116
232,other,1140.0,3,225.0,4,116
233,Naganathapura,1200.0,6,86.0,5,78
234,other,600.0,4,87.0,4,116
235,Hoodi,1100.0,4,120.0,4,43
236,other,600.0,3,70.0,3,116
237,CV Raman Nagar,1100.0,4,220.0,4,29
238,other,600.0,4,100.0,3,116
239,KR Puram,960.0,4,80.0,4,56
240,other,1200.0,3,95.0,5,116
241,other,750.0,2,42.0,4,116
242,ISRO Layout,950.0,3,179.0,4,49
243,Billekahalli,1180.0,5,98.5,5,24
244,Ramamurthy Nagar,945.0,5,120.0,4,86
245,Nagarbhavi,800.0,3,95.0,3,79
246,Nagarbhavi,600.0,5,95.0,4,79
247,Banashankari Stage VI,600.0,4,90.0,3,17
248,other,780.0,3,75.0,3,116
249,Ulsoor,1200.0,4,150.0,5,105
250,other,1200.0,3,180.0,5,116
251,other,750.0,4,95.0,4,116
252,Ramamurthy Nagar,960.0,2,138.0,4,86
253,Bisuvanahalli,873.0,2,40.0,3,25
254,Banashankari Stage VI,600.0,3,90.0,3,17
255,other,1000.0,4,90.0,5,116
256,Sarjapur  Road,1200.0,4,95.0,5,91
257,Mahalakshmi Layout,1050.0,1,35.0,4,70
258,9th Phase JP Nagar,1200.0,5,160.0,5,5
259,Vishwapriya Layout,720.0,3,95.0,4,111
260,other,860.0,4,125.0,4,116
261,Sarjapur  Road,1480.0,4,169.0,5,91
262,other,400.0,2,35.0,4,116
263,other,900.0,6,95.0,5,116
264,Nagasandra,600.0,4,80.0,4,80
265,Jalahalli,1000.0,4,90.0,4,52
266,other,1200.0,4,150.0,5,116
267,other,360.0,2,40.0,2,116
268,other,360.0,4,37.0,4,116
269,other,1050.0,3,85.0,4,116
270,Kenchenahalli,480.0,3,65.0,3,62
271,other,1200.0,5,90.0,5,116
272,Vijayanagar,750.0,4,95.0,5,109
273,Rajaji Nagar,432.0,2,65.0,2,85
274,Sahakara Nagar,1000.0,5,130.0,5,88
275,other,600.0,4,77.0,4,116
276,Electronic City Phase II,545.0,1,29.0,2,35
277,Marsur,497.0,1,25.0,2,75
278,Sarjapur,535.0,1,20.0,2,90
279,other,750.0,4,120.0,4,116
280,other,720.0,3,48.0,3,116
281,Marsur,720.0,2,32.0,3,75
282,Banashankari Stage III,1050.0,3,147.0,4,16
283,other,1200.0,5,260.0,5,116
284,other,565.0,2,15.0,2,116
285,Mysore Road,540.0,4,85.0,4,76
286,other,600.0,2,85.0,3,116
287,9th Phase JP Nagar,600.0,3,79.0,3,5
288,other,720.0,4,95.0,4,116
289,other,950.0,5,55.0,5,116
290,Chandapura,1200.0,3,79.0,5,31
291,other,612.0,3,47.0,4,116
292,Varthur,1000.0,4,65.0,5,106
293,Electronic City,717.0,5,78.0,5,34
294,9th Phase JP Nagar,600.0,3,85.0,3,5
295,Kodigehalli,500.0,1,55.0,2,65
296,Marsur,497.0,1,20.0,2,75
297,other,500.0,2,75.0,3,116
298,Banashankari,675.0,4,140.0,4,14
299,Dasanapura,545.0,2,22.34,2,33
300,other,750.0,3,95.0,5,116
301,2nd Stage Nagarbhavi,1200.0,5,290.0,5,0
302,Begur Road,1100.0,5,165.0,5,23
303,other,600.0,6,72.0,5,116
304,other,600.0,4,60.0,4,116
305,other,800.0,5,95.0,5,116
306,other,857.0,3,95.0,3,116
307,Thyagaraja Nagar,570.0,5,80.0,5,102
308,Kodigehalli,600.0,3,85.0,4,65
309,Nagarbhavi,600.0,3,77.0,4,79
310,Basaveshwara Nagar,700.0,4,125.0,4,21
311,Yeshwanthpur,570.0,2,62.0,2,115
312,Kengeri Satellite Town,1200.0,5,70.0,5,64
313,other,1035.0,5,170.0,5,116
314,other,740.0,2,24.5,4,116
315,Kengeri Satellite Town,936.0,2,60.84,4,64
316,Padmanabhanagar,610.0,2,75.0,3,83
317,Banashankari Stage VI,600.0,3,97.0,4,17
318,other,800.0,5,95.0,5,116
319,TC Palaya,1400.0,5,97.0,5,100
320,other,1200.0,4,115.0,5,116
321,Marsur,715.0,2,29.0,3,75
322,other,702.0,4,65.0,4,116
323,Banjara Layout,610.0,3,60.0,3,18
324,other,900.0,5,135.0,5,116
325,other,675.0,3,75.0,3,116
326,Magadi Road,800.0,4,60.0,4,69
327,other,420.0,1,25.0,2,116
328,other,600.0,3,125.0,3,116
329,Yelahanka New Town,284.0,1,8.0,1,114
330,other,1000.0,5,200.0,4,116
331,NRI Layout,800.0,5,95.5,4,77
332,other,550.0,1,20.0,2,116
333,Banashankari Stage VI,600.0,5,105.0,4,17
334,other,1200.0,5,225.0,5,116
335,other,1200.0,5,138.0,5,116
336,other,840.0,2,35.0,3,116
337,Ramamurthy Nagar,900.0,4,70.0,4,86
338,Hosa Road,900.0,5,55.0,5,45
339,other,875.0,4,150.0,4,116
340,other,600.0,4,65.0,4,116
341,Magadi Road,1200.0,4,130.0,5,69
342,ISRO Layout,950.0,4,180.0,4,49
343,other,600.0,4,125.0,3,116
344,Bannerghatta,940.0,4,45.0,4,19
345,Kumaraswami Layout,623.0,4,75.0,4,68
346,2nd Stage Nagarbhavi,600.0,3,84.0,4,0
347,Rayasandra,1200.0,3,65.0,5,87
348,TC Palaya,1440.0,5,97.0,5,100
349,Kasturi Nagar,784.0,2,165.0,4,60
350,other,1200.0,4,160.0,5,116
351,other,1018.0,4,150.0,4,116
352,Malleshwaram,302.0,2,25.0,2,72
353,Kumaraswami Layout,600.0,2,72.0,4,68
354,Ulsoor,450.0,3,70.0,3,105
355,other,1125.0,3,126.0,4,116
356,2nd Stage Nagarbhavi,600.0,3,82.0,4,0
357,other,560.0,2,22.0,2,116
358,Kanakpura Road,800.0,5,115.0,4,59
359,5th Block Hbr Layout,1200.0,5,205.0,5,1
360,other,1356.0,5,139.0,5,116
361,KR Puram,1200.0,5,125.0,5,56
362,OMBR Layout,615.0,4,110.0,4,82
363,other,1200.0,4,99.0,5,116
364,other,800.0,2,60.0,3,116
365,Bommasandra,1400.0,6,252.0,5,27
366,other,910.0,4,194.0,5,116
367,other,600.0,4,70.0,4,116
368,other,1200.0,6,140.0,5,116
369,other,1200.0,6,110.0,5,116
370,other,750.0,4,90.0,4,116
371,Thyagaraja Nagar,750.0,4,125.0,4,102
372,Nagarbhavi,1200.0,5,260.0,5,79
373,Basaveshwara Nagar,1200.0,3,180.0,5,21
374,other,600.0,3,95.0,4,116
375,Vidyaranyapura,1000.0,4,120.0,4,108
376,Anandapura,850.0,3,63.0,3,9
377,other,1200.0,5,235.0,5,116
378,other,600.0,3,90.0,3,116
379,other,750.0,3,88.0,5,116
380,Ramamurthy Nagar,886.0,4,120.0,4,86
381,other,350.0,3,45.0,4,116
382,other,875.0,3,115.0,3,116
383,other,1000.0,4,80.0,5,116
384,other,1200.0,5,85.0,5,116
385,other,760.0,4,95.0,3,116
386,other,1200.0,5,130.0,5,116
387,Electronic City,550.0,2,16.0,2,34
388,Kengeri Satellite Town,650.0,2,58.0,4,64
389,OMBR Layout,600.0,3,140.0,5,82
390,other,600.0,4,70.0,3,116
391,Tumkur Road,1100.0,2,60.0,4,104
392,JP Nagar,600.0,5,110.0,4,51
393,Ananth Nagar,600.0,3,62.0,4,10
394,5th Block Hbr Layout,1200.0,5,205.0,5,1
395,Horamavu Banaswadi,675.0,4,68.0,4,44
396,Nagarbhavi,600.0,4,78.0,4,79
397,5th Phase JP Nagar,1000.0,4,130.0,4,2
398,other,900.0,4,62.0,5,116
399,other,600.0,3,86.0,3,116
400,Electronic City Phase II,545.0,1,28.0,2,35
401,BTM 1st Stage,1200.0,4,200.0,5,12
402,Judicial Layout,1100.0,4,199.0,5,55
403,8th Phase JP Nagar,600.0,5,99.0,4,4
404,CV Raman Nagar,1200.0,2,100.0,5,29
405,Vidyaranyapura,770.0,3,65.25,4,108
406,Nagarbhavi,600.0,3,100.0,4,79
407,Shivaji Nagar,500.0,1,20.0,2,96
408,Nagavara,440.0,3,35.0,3,81
409,Yelahanka,1330.0,5,210.0,5,113
410,other,250.0,2,40.0,1,116
411,Margondanahalli,1375.0,5,125.0,5,74
412,Vidyaranyapura,774.0,5,70.0,5,108
